,conf_val,fit_m,fit_b,root_mean_square,root_mean_log_square_error,mean_log_abs_diff
43,0.43,0.45618663639010504,58.27914781079744,2685.8799818614493,0.5446210436627958,5.995313242197932
44,0.44,0.4557922066769142,55.82738224772038,2700.991793549116,0.5390293873100417,5.843936177825504
45,0.45,0.45534371534383333,54.54671502488782,2723.809929257135,0.5329169740947031,5.8732986734298445
46,0.46,0.454879868867153,50.469802349573,2739.836112331856,0.5187031302701094,6.059624843861927
47,0.47000000000000003,0.4543893941276641,48.89778331408161,2730.8350631654134,0.515100507676361,6.08820740566366
48,0.48,0.4537532843912872,46.62843503797194,2767.307160074838,0.5091863385172268,6.127598168605889
49,0.49,0.45298436628727695,44.148564224655274,2788.371610472966,0.5011829551359022,6.143435758816935
50,0.5,0.45188547517531297,42.793745925679104,2807.7761739702723,0.49679872284737137,6.1498263808761635
51,0.51,0.4501712932166104,38.35327203993802,2824.486148107175,0.4872653485333956,6.174495582858116
52,0.52,0.4483802439857951,34.60721442225622,2813.0958302785816,0.47116206634159735,6.183832299671838
53,0.53,0.44666400083393387,31.333859002770623,2835.3374346645955,0.4528832693145755,6.178347681467395
54,0.54,0.44484527288473175,27.807919101265725,2851.7500997969337,0.43763452131404057,6.179202926532163
55,0.55,0.443129926371634,24.310162162902998,2928.8275926750234,0.423920794153094,6.201389404339089
56,0.56,0.4412294062987745,19.52981557723251,2937.589560691707,0.4133526635700232,6.179628276360905
57,0.5700000000000001,0.4394328269260352,17.03985447602463,3015.380999702887,0.40111743992785215,6.184092438865031
58,0.58,0.4375871969023212,14.919427876884583,3006.235543661124,0.3825580798841521,6.1635351960128375
59,0.59,0.4356899471435554,14.69002240980626,3065.6164461094077,0.38074732775940784,6.173271230782717
60,0.6,0.4339937920210639,13.49049889188609,3090.463394830829,0.382036030132746,6.163787260320946
61,0.61,0.43209068380639115,12.25806972492137,3101.6586586803164,0.38769785267219253,6.162451053997231
62,0.62,0.43035521827627105,11.7358538833505,3098.3983829736453,0.3993028926464604,6.186878125048138
63,0.63,0.42834757406025925,9.660868824430509,3134.626929500171,0.38674437116103527,6.14721468547712
64,0.64,0.4265216245345109,8.144627576315543,3199.832696204848,0.3767695252917927,6.16094395314202
65,0.65,0.4244797343494729,5.928547572490061,3269.085468337726,0.3581386375457781,6.123818194677305
66,0.66,0.42243255611907754,5.851320963323815,3316.4200317399764,0.35732935983781516,6.142999847530135
67,0.67,0.42022161745285436,5.508459253876936,3386.125974992987,0.3566085699280677,6.173165989603043
68,0.68,0.41802170086823875,4.533917771303095,3485.879952435608,0.3751235410811597,6.229277421424844
69,0.6900000000000001,0.41569236269365467,2.432295688719023,3497.2048615046247,0.356829231916491,6.182619436094537
70,0.7000000000000001,0.41348527856248846,0.7274124210234731,3600.064635924752,0.34010943660799997,6.187728595007523
71,0.71,0.41109171794840377,-0.6011139801121317,3565.6098491393013,0.3426590698682263,6.124276541325731
