conf_val,fit_m,fit_b,cov_m,cov_b,root_mean_square,root_mean_log_square_error,mean_log_abs_diff
0.5,0.44003822063482545,481.4842735412972,6.419577429299113,1462.1614292694123,16870.83969729932,6.181321930350655,4.867745221452502
0.51,0.4362287577436981,467.55649549229076,6.056207359732607,1379.3980844663422,16874.98666509594,6.178866709369173,4.8974241364447915
0.52,0.43250438598046487,453.2241337647709,5.702477644983804,1298.8304846533683,16875.265467918027,6.1834082988892645,4.896574988325088
0.53,0.4286037152788521,441.11038632474845,5.4486904586379765,1241.0263940875207,16883.598029164626,6.177534298482984,4.89257824205931
0.54,0.42472656940699954,428.34087148010786,5.139858371892623,1170.684947110201,16885.94594206328,6.196314577297888,4.9128103567981665
0.55,0.42084846301250745,415.3833571097338,4.878571837164716,1111.1727600115682,16894.614527189296,6.180842907481984,4.913095608283362
0.56,0.4169338614230628,403.44015360341297,4.63540280437955,1055.7871237376805,16904.711930952984,6.179380846238881,4.921453625466332
0.57,0.4128418979584974,391.6496817718504,4.39299445105133,1000.5747443758303,16913.36862958186,6.172702184426345,4.897277425739571
0.58,0.4089273975360924,379.00354457879996,4.14723955999264,944.6001375239343,16923.476639915632,6.168258746934398,4.912796322843743
0.59,0.40509518194210525,366.83434426385935,3.89223366999995,886.518467711512,16924.871968687676,6.171035325645504,4.926792536264297
0.6,0.4010806216762639,355.4029924599109,3.700821416486944,842.9212656746774,16934.341064039807,6.165226478952592,4.926103771601983
0.61,0.3970378792493018,344.6028418284627,3.4915463850904036,795.2555302914415,16931.159962135007,6.145241237079503,4.9332752280835015
0.62,0.39287188910075993,334.4743451243938,3.3168207387248856,755.4589699051107,16935.834291215706,6.141140355158838,4.931673646972309
0.63,0.3886034570720125,324.24821223663685,3.129828395492919,712.8684731234029,16943.836438241826,6.142993066747246,4.938711146970825
0.64,0.3843699309508563,313.27228045597764,2.9502058207754507,671.9565589872382,16947.69135968926,6.1413873580485605,4.929370886417874
0.65,0.3799593904699369,302.6798730810782,2.788969192765735,635.2323382643478,16958.573931810668,6.134070707651625,4.926348693447348
0.66,0.3756064515284815,292.32416796597545,2.6270408142545283,598.3505603014213,16974.320446391757,6.149760755066739,4.944293615921375
0.67,0.37100422061054317,282.0330703349962,2.439051097364797,555.5328957179361,16983.09279425931,6.142052168151138,4.94183655915842
0.68,0.36651374169792494,272.0004814165294,2.2637526876126297,515.6058793099622,16997.338511368856,6.143636702213798,4.957053821775072
0.69,0.36194780772199486,262.2805804544447,2.127416352077893,484.55309843422947,17005.190514764774,6.140766593159884,4.95833756607486
0.7,0.35710541902258963,252.90059431904226,1.989820571959918,453.2134589120837,17026.33335697698,6.127121562559328,4.941835928048736
0.71,0.35220214956549134,243.20110281591593,1.855050560900025,422.5174334860764,17052.736123834104,6.121583476753443,4.938389695837684
0.72,0.34717823132774495,233.36984508035067,1.7056937027868582,388.49902035295844,17070.84186679644,6.114268283847708,4.92983779867392
0.73,0.34194156364396233,223.63299101379798,1.5868472794579083,361.4298467021957,17115.078029392433,6.093902616874082,4.934650711749261
0.74,0.33670225244220653,214.5379387478892,1.4766745935759797,336.336255476027,17155.222399242557,6.0892025667607,4.917502021233423
0.75,0.33118031436226575,205.56254316604188,1.3636624677990037,310.59593640196005,17180.04321971136,6.079970429216243,4.901517963511342
0.76,0.3255134631223677,197.28919065855123,1.2572048145083436,286.348503263805,17212.378015544975,6.089650319977613,4.938532175111021
0.77,0.3195725379049806,188.07942632634126,1.1589182944597776,263.9621764043098,17248.606479404025,6.079395924371437,4.914070689418164
0.78,0.31338730451273394,179.1426290235821,1.0645626778032728,242.47117566017914,17304.518413425238,6.07114795316894,4.9139037018279135
0.79,0.3069883974546037,170.08059985347788,0.9713311504267366,221.2362042273741,17347.748123557903,6.072631653824074,4.913870986147623
0.8,0.3003090599981312,161.8032330699329,0.8941668014177837,203.6607896337857,17399.400784693902,6.074629599288707,4.93861904715257
0.81,0.29320625872882194,152.8665890638467,0.7988473477106702,181.950259586516,17459.150273402698,6.059350820752818,4.939980333523779
0.82,0.2857578002890527,144.12242212652822,0.7212426541451697,164.2745494776443,17505.068245319042,6.050341434505348,4.939793696268488
0.83,0.27792514647782285,134.76393280218792,0.630474780262567,143.6007145298474,17592.165468251846,6.033474585897363,4.9321734312124255
0.84,0.2696548265044591,126.49414874851807,0.5668485045995517,129.10881265825003,17700.065405338923,6.017887670789544,4.910897503322946
0.85,0.26099125848651245,118.00304125636463,0.5090381999791131,115.94159120773328,17805.484895960457,6.003539322575705,4.908956325119673
0.86,0.25186807663854044,109.42141127739181,0.4515082803388036,102.83823192070098,17903.77232471111,5.993311372145368,4.8905570309779245
0.87,0.24223307072548617,100.62621556308241,0.39748762042445346,90.53416266063648,18042.646563466864,5.97572581102747,4.8777769151347945
0.88,0.23198942666354444,92.0933676807299,0.33409040055396627,76.09443190912823,18175.901176231582,5.973665215897366,4.88344317859549
0.89,0.22118161946026496,83.53974457314276,0.2826694780463973,64.38249442164357,18309.649483373305,5.945859019895427,4.8750418743630055
